,src_port,dst_port,pct,airline,src_lat,src_lon,dst_lat,dst_lon,src_loc,dst_loc
1,KIAD,KIAH,0.029411764705882353,United Airlines,38.9474444444444,-77.4599444444444,29.9844333333333,-95.3414416666667,POINT (-77.4599444444444 38.9474444444444),POINT (-95.3414416666667 29.9844333333333)
2,KIAD,KATL,0.022222222222222223,Delta Air Lines,38.9474444444444,-77.4599444444444,33.6366972222222,-84.4278638888889,POINT (-77.4599444444444 38.9474444444444),POINT (-84.4278638888889 33.6366972222222)
3,KIAD,KPHX,0.029411764705882353,United Airlines,38.9474444444444,-77.4599444444444,33.4342777777778,-112.011583333333,POINT (-77.4599444444444 38.9474444444444),POINT (-112.011583333333 33.4342777777778)
4,KIAD,KBOS,0.058823529411764705,United Airlines,38.9474444444444,-77.4599444444444,42.3629444444444,-71.0063888888889,POINT (-77.4599444444444 38.9474444444444),POINT (-71.0063888888889 42.3629444444444)
5,KIAD,KDFW,0.0273972602739726,American Airlines,38.9474444444444,-77.4599444444444,32.8972305555556,-97.0376944444444,POINT (-77.4599444444444 38.9474444444444),POINT (-97.0376944444444 32.8972305555556)
7,KIAD,KEWR,0.029411764705882353,United Airlines,38.9474444444444,-77.4599444444444,40.6924777777778,-74.1686861111111,POINT (-77.4599444444444 38.9474444444444),POINT (-74.1686861111111 40.6924777777778)
8,KIAD,KRDU,0.029411764705882353,United Airlines,38.9474444444444,-77.4599444444444,35.8776388888889,-78.7874722222222,POINT (-77.4599444444444 38.9474444444444),POINT (-78.7874722222222 35.8776388888889)
9,KIAD,LFPG,0.029411764705882353,United Airlines,38.9474444444444,-77.4599444444444,49.0097222222222,2.54777777777778,POINT (-77.4599444444444 38.9474444444444),POINT (2.54777777777778 49.0097222222222)
10,KATL,KCLT,0.03333333333333333,Delta Air Lines,33.6366972222222,-84.4278638888889,35.21375,-80.9490555555556,POINT (-84.4278638888889 33.6366972222222),POINT (-80.9490555555556 35.21375)
12,KATL,KTUL,0.022222222222222223,Delta Air Lines,33.6366972222222,-84.4278638888889,36.1983888888889,-95.8881111111111,POINT (-84.4278638888889 33.6366972222222),POINT (-95.8881111111111 36.1983888888889)
14,KATL,KDAL,0.07777777777777778,Delta Air Lines,33.6366972222222,-84.4278638888889,32.8459444444444,-96.850875,POINT (-84.4278638888889 33.6366972222222),POINT (-96.850875 32.8459444444444)
15,KATL,KOMA,0.044444444444444446,Delta Air Lines,33.6366972222222,-84.4278638888889,41.3031666666667,-95.8940555555556,POINT (-84.4278638888889 33.6366972222222),POINT (-95.8940555555556 41.3031666666667)
16,KATL,KTYS,0.022222222222222223,Delta Air Lines,33.6366972222222,-84.4278638888889,35.8093722222222,-83.9953194444444,POINT (-84.4278638888889 33.6366972222222),POINT (-83.9953194444444 35.8093722222222)
17,KATL,KOKC,0.044444444444444446,Delta Air Lines,33.6366972222222,-84.4278638888889,35.3930722222222,-97.6007611111111,POINT (-84.4278638888889 33.6366972222222),POINT (-97.6007611111111 35.3930722222222)
18,KATL,KDFW,0.0410958904109589,American Airlines,33.6366972222222,-84.4278638888889,32.8972305555556,-97.0376944444444,POINT (-84.4278638888889 33.6366972222222),POINT (-97.0376944444444 32.8972305555556)
20,KATL,KPHX,0.0136986301369863,American Airlines,33.6366972222222,-84.4278638888889,33.4342777777778,-112.011583333333,POINT (-84.4278638888889 33.6366972222222),POINT (-112.011583333333 33.4342777777778)
21,KATL,KMIA,0.0684931506849315,American Airlines,33.6366972222222,-84.4278638888889,25.7953611111111,-80.2901138888889,POINT (-84.4278638888889 33.6366972222222),POINT (-80.2901138888889 25.7953611111111)
22,KATL,KMLB,0.022222222222222223,Delta Air Lines,33.6366972222222,-84.4278638888889,28.10275,-80.64525,POINT (-84.4278638888889 33.6366972222222),POINT (-80.64525 28.10275)
23,KATL,KHOU,0.022222222222222223,Delta Air Lines,33.6366972222222,-84.4278638888889,29.6454166666667,-95.2788333333333,POINT (-84.4278638888889 33.6366972222222),POINT (-95.2788333333333 29.6454166666667)
24,KATL,KHSV,0.022222222222222223,Delta Air Lines,33.6366972222222,-84.4278638888889,34.6371944444444,-86.7750527777778,POINT (-84.4278638888889 33.6366972222222),POINT (-86.7750527777778 34.6371944444444)
25,KATL,KBTR,0.022222222222222223,Delta Air Lines,33.6366972222222,-84.4278638888889,30.5329166666667,-91.1498888888889,POINT (-84.4278638888889 33.6366972222222),POINT (-91.1498888888889 30.5329166666667)
26,KATL,KATW,0.011111111111111112,Delta Air Lines,33.6366972222222,-84.4278638888889,44.2580833333333,-88.5190833333333,POINT (-84.4278638888889 33.6366972222222),POINT (-88.5190833333333 44.2580833333333)
27,KATL,KCHA,0.022222222222222223,Delta Air Lines,33.6366972222222,-84.4278638888889,35.0351944444444,-85.2035555555556,POINT (-84.4278638888889 33.6366972222222),POINT (-85.2035555555556 35.0351944444444)
28,KATL,KCEW,0.011111111111111112,Delta Air Lines,33.6366972222222,-84.4278638888889,30.7788305555556,-86.5221111111111,POINT (-84.4278638888889 33.6366972222222),POINT (-86.5221111111111 30.7788305555556)
29,KATL,KMSN,0.03333333333333333,Delta Air Lines,33.6366972222222,-84.4278638888889,43.1398777777778,-89.3375027777778,POINT (-84.4278638888889 33.6366972222222),POINT (-89.3375027777778 43.1398777777778)
